layout_number,room_length_ft,room_breadth_ft,room_area_sqft,room_setup_type,num_windows,door_wall,window_wall_1,window_wall_2,total_price_npr,bed,table,chair,wardrobe,bookshelf,bedsidetable,dresser,dustbin,mirror
527,11.5,9.25,106.38,luxury,1,west,NA,east,56000,db,lt,ac,ww,NA,bt,dr,di,NA
528,12.5,11,137.5,standard,1,south,east,NA,21300,db,lt,pc,fw,wb,NA,NA,di,NA
529,12.75,12.25,156.19,budget,1,west,NA,south,15300,db,mt,pc,hw,NA,NA,NA,di,NA
530,14.25,11.25,160.31,budget,2,west,north,south,15000,sb,mt,mc,fw,NA,NA,NA,di,mr
531,9.75,9.5,92.62,budget,1,west,NA,north,14500,sb,mt,mc,fw,NA,NA,NA,di,mr
532,14.75,13.75,202.81,standard,2,south,east,north,24500,sb,mt,ac,fw,wb,NA,NA,di,NA
533,15,12.5,187.5,luxury,2,east,south,north,25000,db,lt,ac,fw,NA,NA,NA,di,NA
534,14.5,10.25,148.62,budget,1,west,east,NA,22800,db,lt,pc,fw,wb,NA,NA,di,mr
535,12.5,10,125,budget,1,north,NA,east,31000,sb,mt,mc,ww,wb,NA,NA,di,mr
536,13.75,13.25,182.19,standard,2,north,west,east,31000,db,lt,mc,ww,NA,NA,NA,di,NA
537,11,9.5,104.5,budget,1,south,NA,north,17800,db,lt,pc,fw,NA,NA,NA,di,NA
538,14.5,14.25,206.62,budget,2,north,west,east,11800,sb,mt,pc,hw,NA,NA,NA,di,NA
539,13.5,10,135,budget,1,south,NA,north,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
540,13,12.25,159.25,budget,1,east,south,NA,14800,db,mt,pc,hw,NA,NA,NA,di,NA
541,12,10,120,luxury,1,south,NA,west,27000,db,lt,ac,NA,NA,bt,NA,di,mr
542,13.75,10.5,144.38,budget,1,west,south,NA,32800,db,mt,pc,ww,wb,NA,NA,di,NA
543,13,12.5,162.5,budget,2,east,north,south,17300,sb,lt,pc,fw,bb,NA,NA,di,mr
544,9.75,9.5,92.62,standard,1,south,east,NA,32000,sb,lt,mc,ww,wb,NA,NA,di,NA
545,9.5,9,85.5,standard,1,south,NA,east,23000,sb,mt,ac,fw,bb,NA,NA,di,mr
546,11.5,10.5,120.75,budget,2,north,east,south,13300,sb,mt,pc,hw,bb,NA,NA,di,NA
547,10,9.75,97.5,budget,1,west,NA,north,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
548,12.25,11,134.75,budget,2,west,east,south,13800,sb,mt,pc,fw,NA,NA,NA,di,mr
549,12.75,10,127.5,budget,1,north,NA,south,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
550,12.75,12.5,159.38,budget,1,north,west,NA,17800,db,mt,pc,fw,bb,NA,NA,di,NA
551,14,13.75,192.5,luxury,2,south,north,west,48500,kb,lt,mc,fw,NA,bt,dr,di,NA
552,10,9.25,92.5,budget,1,east,west,NA,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
553,12.25,9,110.25,standard,2,north,south,east,21000,db,mt,mc,fw,wb,NA,NA,di,NA
554,14.25,12.5,178.12,budget,2,west,north,east,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
555,15,10.5,157.5,budget,1,north,NA,south,29800,sb,lt,pc,ww,bb,NA,NA,di,mr
556,14.75,10.25,151.19,standard,1,north,east,NA,20500,sb,lt,mc,fw,wb,NA,NA,di,mr
557,13,9.75,126.75,luxury,1,east,NA,north,52500,db,mt,mc,ww,wb,bt,dr,di,NA
558,14,11,154,budget,1,south,west,NA,16500,sb,mt,mc,hw,wb,NA,NA,di,NA
559,11.75,10.75,126.31,budget,1,west,NA,north,14800,sb,lt,pc,hw,NA,NA,NA,di,mr
560,14.75,14,206.5,standard,2,north,west,south,16000,db,lt,mc,NA,NA,NA,NA,di,NA
561,12.5,9.75,121.88,luxury,2,west,east,south,36000,db,lt,mc,NA,wb,bt,NA,di,mr
562,12.75,12.25,156.19,standard,2,south,north,west,23500,db,mt,ac,fw,NA,NA,NA,di,NA
563,13.75,11.75,161.56,standard,2,east,south,west,27500,sb,lt,mc,ww,NA,NA,NA,di,NA
564,14,12.5,175,luxury,2,east,north,west,40500,db,mt,ac,ww,wb,NA,NA,di,mr
565,14.75,10,147.5,luxury,2,south,north,west,44500,db,mt,mc,ww,wb,NA,NA,di,NA
566,13.5,13,175.5,luxury,2,south,east,north,48000,kb,lt,mc,fw,NA,bt,dr,di,NA
567,10.5,10,105,standard,1,west,NA,south,15800,db,mt,pc,NA,bb,NA,NA,di,mr
568,15,12.25,183.75,budget,2,east,west,south,14300,sb,mt,pc,hw,bb,NA,NA,di,mr
569,15,13.75,206.25,luxury,2,west,east,north,30000,db,mt,ac,NA,wb,bt,NA,di,mr
570,13.75,10.25,140.94,budget,2,east,north,south,17000,db,mt,mc,hw,NA,NA,NA,di,mr
571,14.75,9.5,140.12,budget,1,west,NA,south,26800,sb,mt,pc,ww,NA,NA,NA,di,mr
572,14,11,154,budget,1,west,south,NA,15300,sb,mt,pc,NA,wb,NA,NA,di,mr
573,13,10.5,136.5,budget,1,east,NA,south,20500,db,lt,mc,fw,bb,NA,NA,di,mr
574,14.75,11.25,165.94,luxury,2,south,west,north,51000,db,mt,ac,ww,NA,bt,NA,di,NA
575,14.75,11.75,173.31,budget,2,south,east,west,21300,db,lt,pc,fw,wb,NA,NA,di,NA
576,12.75,10.5,133.88,budget,1,east,west,NA,11500,sb,mt,mc,NA,NA,NA,NA,di,NA
577,13.25,11,145.75,budget,1,east,NA,west,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
578,10,9.75,97.5,standard,1,east,south,NA,14000,sb,lt,mc,NA,NA,NA,NA,di,mr
579,14.75,12.5,184.38,standard,2,west,south,east,17300,db,mt,pc,fw,NA,NA,NA,di,mr
580,10.5,9,94.5,budget,1,south,east,NA,15800,db,lt,pc,NA,NA,NA,NA,di,mr
581,13.5,13,175.5,luxury,2,south,north,east,50000,db,lt,mc,ww,NA,bt,dr,di,NA
582,11,9,99,luxury,1,south,west,NA,42000,db,lt,ac,ww,NA,bt,NA,di,mr
583,14.25,12.5,178.12,standard,2,west,south,north,18500,db,lt,mc,fw,NA,NA,NA,di,NA
584,14.5,11.25,163.12,standard,2,east,north,south,20300,db,mt,pc,hw,wb,NA,NA,di,mr
585,13.75,9.75,134.06,luxury,2,north,south,west,43000,db,lt,ac,ww,bb,bt,NA,di,NA
586,13.25,9,119.25,standard,2,north,west,south,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
587,15,14.25,213.75,budget,2,west,south,north,13300,sb,mt,pc,NA,bb,NA,NA,di,mr
588,10.75,9.25,99.44,budget,1,west,south,NA,12300,sb,mt,pc,NA,bb,NA,NA,di,NA
589,14.5,9.5,137.75,budget,1,east,NA,west,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
590,12,11.25,135,budget,1,south,east,NA,21500,db,mt,mc,fw,wb,NA,NA,di,mr
591,13,9.75,126.75,budget,1,south,NA,west,15800,sb,lt,pc,fw,bb,NA,NA,di,NA
592,11.25,10.75,120.94,budget,1,north,east,NA,15000,sb,mt,mc,fw,NA,NA,NA,di,mr
593,14.5,12,174,budget,2,north,east,west,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
594,13.25,11,145.75,standard,1,west,north,NA,22000,db,mt,mc,fw,wb,NA,NA,di,mr
595,14,11,154,budget,1,south,NA,east,16300,db,lt,pc,hw,NA,NA,NA,di,NA
596,11,9,99,budget,1,north,west,NA,26800,sb,mt,pc,ww,bb,NA,NA,di,NA
597,14.25,12.5,178.12,luxury,2,north,east,west,47300,kb,lt,pc,fw,wb,NA,dr,di,NA
598,14,12.75,178.5,budget,2,east,south,west,13500,sb,mt,mc,hw,NA,NA,NA,di,mr
599,14.75,14.75,217.56,budget,2,west,east,south,12800,sb,mt,pc,fw,NA,NA,NA,di,NA
600,13.75,11.75,161.56,budget,2,south,west,east,15500,sb,mt,mc,hw,bb,NA,NA,di,mr
601,14,11.5,161,luxury,2,south,west,east,32500,db,mt,ac,fw,wb,bt,NA,di,mr
602,12.5,10,125,budget,2,east,north,south,11800,sb,mt,pc,hw,NA,NA,NA,di,NA
603,14.75,13.5,199.12,standard,2,north,south,east,30300,db,mt,pc,ww,bb,NA,NA,di,NA
604,13.75,13.75,189.06,standard,2,north,east,south,18000,sb,mt,mc,fw,wb,NA,NA,di,NA
605,13.25,13.25,175.56,standard,2,west,south,east,23000,sb,lt,ac,fw,NA,NA,NA,di,mr
606,14,12.5,175,luxury,2,west,east,north,57500,kb,lt,ac,ww,wb,bt,NA,di,mr
607,14.25,13.75,195.94,budget,2,north,south,east,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
608,14.25,14.25,203.06,luxury,2,east,west,north,54000,db,lt,mc,ww,wb,bt,dr,di,NA
609,12.75,9.25,117.94,standard,2,south,east,north,17000,db,lt,mc,NA,NA,NA,NA,di,mr
610,14.5,9.75,141.38,standard,1,south,north,NA,22800,db,lt,pc,fw,wb,NA,NA,di,mr
611,14.5,10.75,155.88,budget,2,east,north,south,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
612,12.25,9.75,119.44,budget,1,west,east,NA,12300,sb,mt,pc,NA,bb,NA,NA,di,NA
613,12.25,11.75,143.94,standard,1,east,NA,north,20500,db,mt,mc,fw,wb,NA,NA,di,NA
614,11.25,9.75,109.69,budget,1,east,north,NA,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
615,14.25,13,185.25,standard,2,north,south,west,26800,sb,mt,pc,ww,NA,NA,NA,di,mr
616,10.5,10.5,110.25,standard,2,east,south,north,29000,sb,mt,mc,ww,bb,NA,NA,di,mr
617,12,11.75,141,budget,2,east,south,west,16800,sb,lt,pc,fw,bb,NA,NA,di,mr
618,11.5,11.25,129.38,budget,1,south,north,NA,16000,db,mt,mc,hw,NA,NA,NA,di,NA
619,10.75,10.25,110.19,luxury,1,east,NA,south,38500,db,lt,ac,NA,NA,bt,NA,di,mr
620,12.75,12.5,159.38,standard,2,east,north,west,20000,db,lt,mc,fw,bb,NA,NA,di,NA
621,14.75,10.5,154.88,standard,2,east,north,west,17800,db,mt,pc,hw,bb,NA,NA,di,mr
622,13.75,10.25,140.94,standard,1,east,west,NA,18000,db,mt,mc,fw,NA,NA,NA,di,mr
623,12.75,12,153,standard,1,east,NA,south,16000,db,lt,mc,NA,NA,NA,NA,di,NA
624,10.25,10,102.5,budget,1,south,east,NA,18000,db,lt,mc,NA,bb,NA,NA,di,mr
625,13.25,10.25,135.81,standard,2,east,west,north,27800,sb,lt,pc,ww,NA,NA,NA,di,mr
626,11.75,11.75,138.06,budget,1,east,west,NA,17300,sb,mt,pc,fw,wb,NA,NA,di,NA
627,12.75,10,127.5,luxury,2,east,west,north,65000,db,lt,ac,ww,bb,NA,dr,di,NA
628,13.25,9.75,129.19,standard,2,east,south,north,18500,db,lt,mc,fw,NA,NA,NA,di,NA
629,13.5,10.5,141.75,budget,1,north,NA,south,17300,db,lt,pc,hw,NA,NA,NA,di,mr
630,13.5,12.25,165.38,luxury,2,west,south,north,38300,db,lt,pc,NA,wb,bt,dr,di,NA
631,13.5,13,175.5,budget,2,west,south,east,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
632,13.25,9,119.25,budget,1,west,east,NA,12300,sb,mt,pc,NA,bb,NA,NA,di,NA
633,14,12.5,175,budget,2,south,east,north,15300,sb,mt,pc,fw,bb,NA,NA,di,mr
634,14,9.25,129.5,budget,2,east,north,south,12500,sb,mt,mc,hw,NA,NA,NA,di,NA
635,14.25,9.25,131.81,standard,1,west,NA,east,29500,db,mt,mc,ww,NA,NA,NA,di,NA
636,10.5,9.5,99.75,standard,1,west,north,NA,21300,db,lt,pc,fw,wb,NA,NA,di,NA
637,12.25,11,134.75,budget,1,south,NA,north,19300,db,mt,pc,hw,wb,NA,NA,di,NA
638,12,10,120,standard,2,west,east,south,34500,db,mt,mc,ww,wb,NA,NA,di,mr
639,14,11.5,161,budget,2,north,south,west,29000,sb,mt,mc,ww,bb,NA,NA,di,mr
640,13,13,169,budget,2,south,north,east,16300,sb,mt,pc,hw,wb,NA,NA,di,NA
641,13.5,12,162,standard,2,south,east,north,18800,db,lt,pc,fw,NA,NA,NA,di,mr
642,13,10.75,139.75,budget,1,west,east,NA,15500,db,mt,mc,NA,NA,NA,NA,di,mr
643,13.25,11.5,152.38,budget,2,east,north,south,15500,sb,lt,mc,fw,NA,NA,NA,di,NA
644,12.5,9,112.5,luxury,2,east,south,north,38300,db,lt,pc,NA,wb,bt,dr,di,NA
645,12.5,12.25,153.12,budget,1,north,NA,west,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
646,13.75,11.5,158.12,luxury,2,north,west,south,65500,db,mt,ac,ww,NA,bt,dr,di,NA
647,12,9.75,117,standard,2,east,north,south,22000,db,mt,mc,fw,wb,NA,NA,di,mr
648,13.5,12.5,168.75,budget,2,south,west,east,11000,sb,mt,mc,NA,NA,NA,NA,di,NA
649,10.5,9,94.5,standard,1,east,NA,west,16500,db,mt,mc,fw,NA,NA,NA,di,NA
650,14.25,11.25,160.31,luxury,2,north,south,west,55000,db,mt,ac,ww,NA,bt,dr,di,NA
651,13.25,10.25,135.81,standard,1,south,NA,east,19300,db,lt,pc,hw,bb,NA,NA,di,mr
652,14.75,11,162.25,standard,2,east,south,north,19500,db,mt,mc,fw,bb,NA,NA,di,mr
653,14,10.5,147,luxury,1,north,NA,east,53000,db,mt,ac,fw,NA,bt,dr,di,NA
654,11.5,10.5,120.75,budget,2,west,east,south,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
655,15,9,135,standard,1,north,NA,south,18000,sb,mt,mc,fw,wb,NA,NA,di,NA
656,11.25,10,112.5,standard,2,south,north,west,18800,db,lt,pc,fw,NA,NA,NA,di,mr
657,14.5,13.25,192.12,standard,2,east,north,south,19500,db,lt,mc,hw,bb,NA,NA,di,mr
658,13.5,12.75,172.12,standard,2,west,east,south,22500,db,lt,mc,fw,wb,NA,NA,di,NA
659,14.75,13.75,202.81,standard,2,south,north,west,28000,sb,lt,mc,ww,NA,NA,NA,di,NA
660,13.5,10,135,budget,1,east,north,NA,16500,db,mt,mc,fw,NA,NA,NA,di,NA
661,13.5,10.75,145.12,standard,1,north,NA,south,16000,db,lt,mc,NA,NA,NA,NA,di,NA
662,12,11.75,141,luxury,2,north,west,south,50000,db,lt,mc,ww,wb,bt,NA,di,NA
663,12.75,11.75,149.81,standard,1,north,NA,east,21500,db,lt,mc,hw,wb,NA,NA,di,NA
664,10.25,10.25,105.06,budget,1,east,west,NA,17000,sb,mt,mc,hw,wb,NA,NA,di,NA
665,12.25,10.25,125.56,luxury,2,east,south,west,52500,db,lt,ac,ww,NA,bt,NA,di,NA
666,15,11.5,172.5,luxury,2,east,north,south,57500,db,mt,ac,fw,wb,bt,dr,di,NA
667,14.25,12.5,178.12,standard,2,east,north,west,22500,db,lt,mc,hw,wb,NA,NA,di,mr
668,13.25,10.25,135.81,budget,1,north,south,NA,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
669,15,11.25,168.75,standard,2,west,east,south,17800,db,lt,pc,hw,NA,NA,NA,di,mr
670,10.5,10,105,luxury,1,south,north,NA,44000,db,mt,ac,ww,wb,bt,NA,di,NA
671,12,9.75,117,standard,1,west,NA,east,33000,db,lt,mc,ww,bb,NA,NA,di,mr
672,15,10.5,157.5,budget,1,west,north,NA,15800,sb,lt,pc,fw,NA,NA,NA,di,mr
673,11,9.75,107.25,luxury,1,south,NA,east,33000,db,mt,mc,fw,NA,bt,NA,di,mr
674,14.5,12.25,177.62,budget,2,north,west,east,15500,db,mt,mc,NA,bb,NA,NA,di,NA
675,13,12.5,162.5,standard,2,east,west,north,14500,sb,mt,mc,fw,NA,NA,NA,di,mr
676,15,10,150,luxury,2,west,south,north,41500,db,lt,ac,ww,NA,bt,NA,di,NA
677,12.75,12.25,156.19,standard,2,east,north,south,19300,db,lt,pc,fw,bb,NA,NA,di,NA
678,12.25,9.75,119.44,budget,1,south,east,NA,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
679,12.75,10,127.5,budget,1,south,NA,east,13500,sb,mt,mc,fw,NA,NA,NA,di,NA
680,14.75,11.75,173.31,budget,2,south,east,west,11800,sb,lt,pc,NA,NA,NA,NA,di,NA
681,15,13.75,206.25,standard,2,west,north,south,16500,sb,lt,mc,fw,NA,NA,NA,di,mr
682,12,11.75,141,budget,1,north,south,NA,16300,db,mt,pc,hw,bb,NA,NA,di,NA
683,14.5,9.25,134.12,standard,2,south,west,east,18500,db,mt,mc,fw,bb,NA,NA,di,NA
684,14.25,12.75,181.69,budget,2,east,west,north,14800,sb,mt,pc,fw,bb,NA,NA,di,NA
685,11,9.5,104.5,budget,1,east,NA,west,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
686,14,13.75,192.5,standard,2,west,east,north,16000,sb,lt,mc,fw,NA,NA,NA,di,mr
687,11,10.75,118.25,luxury,2,north,south,east,38500,db,lt,ac,NA,wb,NA,NA,di,mr
688,14.75,14,206.5,luxury,2,north,west,east,42500,kb,lt,ac,NA,wb,bt,NA,di,mr
689,13.25,12.5,165.62,standard,2,west,south,east,20300,db,lt,pc,fw,bb,NA,NA,di,mr
690,14.25,10.5,149.62,budget,2,east,south,north,18800,db,lt,pc,fw,NA,NA,NA,di,mr
691,13,9.75,126.75,budget,1,east,NA,north,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
692,9.25,9,83.25,luxury,1,south,west,NA,67500,db,lt,ac,ww,wb,NA,dr,di,NA
693,15,13.25,198.75,standard,2,west,east,south,19500,sb,lt,mc,hw,wb,NA,NA,di,mr
694,13.5,11.75,158.62,standard,1,east,north,NA,31300,db,mt,pc,ww,bb,NA,NA,di,mr
695,10.5,10.5,110.25,budget,1,south,NA,east,15800,sb,mt,pc,fw,bb,NA,NA,di,mr
696,13.5,12,162,standard,2,south,west,east,19000,sb,mt,mc,fw,wb,NA,NA,di,mr
697,13.5,9.75,131.62,budget,1,east,NA,west,17300,db,mt,pc,fw,NA,NA,NA,di,mr
698,12.5,10.25,128.12,luxury,1,east,west,NA,20500,db,mt,mc,hw,NA,bt,NA,di,mr
699,14.25,13.75,195.94,luxury,2,west,south,north,55000,kb,lt,ac,fw,wb,NA,dr,di,NA
700,12.75,11.5,146.62,budget,2,west,south,north,16500,sb,mt,mc,fw,bb,NA,NA,di,mr
701,14.5,12.25,177.62,budget,2,north,east,south,13800,sb,mt,pc,fw,NA,NA,NA,di,mr
702,12.5,12.5,156.25,standard,1,east,south,NA,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
703,13,10.75,139.75,standard,1,south,NA,east,14800,db,mt,pc,NA,NA,NA,NA,di,mr
704,13.75,9.75,134.06,luxury,1,south,east,NA,47000,db,mt,ac,NA,NA,NA,dr,di,NA
705,13.5,12.75,172.12,standard,2,north,west,east,38500,db,mt,ac,ww,bb,NA,NA,di,mr
706,14.75,14.5,213.88,standard,2,west,south,north,21000,db,mt,mc,fw,wb,NA,NA,di,NA
707,9.25,9,83.25,luxury,1,west,NA,east,63500,db,lt,ac,ww,NA,NA,dr,di,NA
708,14,10.25,143.5,standard,2,west,south,east,20000,db,lt,mc,hw,bb,NA,NA,di,mr
709,13.75,10.25,140.94,standard,2,west,north,east,18000,db,mt,mc,fw,NA,NA,NA,di,mr
710,13,12.25,159.25,standard,2,north,east,west,23000,sb,lt,ac,fw,NA,NA,NA,di,mr
711,14,10.25,143.5,standard,2,south,north,west,35300,db,lt,pc,ww,wb,NA,NA,di,mr
712,14,12,168,luxury,2,west,north,south,59000,db,mt,ac,ww,wb,bt,dr,di,NA
713,12.25,10,122.5,budget,1,north,NA,west,13300,sb,mt,pc,NA,bb,NA,NA,di,mr
714,11.25,10.25,115.31,standard,2,east,north,south,17500,sb,lt,mc,fw,bb,NA,NA,di,mr
715,14,9.25,129.5,standard,1,east,NA,north,16500,db,mt,mc,fw,NA,NA,NA,di,NA
716,13.5,9.5,128.25,standard,1,north,east,NA,13800,db,mt,pc,NA,NA,NA,NA,di,NA
717,14.25,10.5,149.62,standard,2,south,east,west,14800,db,mt,pc,hw,NA,NA,NA,di,NA
718,13,12.75,165.75,luxury,2,south,east,west,38500,kb,mt,ac,fw,NA,bt,NA,di,NA
719,12.5,10.5,131.25,budget,2,north,east,west,18500,db,mt,mc,fw,bb,NA,NA,di,NA
720,9.25,9,83.25,budget,1,north,east,NA,16300,db,mt,pc,NA,bb,NA,NA,di,mr
721,14,12.5,175,standard,2,west,south,east,30000,sb,lt,mc,ww,bb,NA,NA,di,mr
722,12.75,12,153,budget,1,west,south,NA,16300,db,mt,pc,NA,bb,NA,NA,di,mr
723,10.5,9,94.5,budget,1,east,NA,north,29800,sb,lt,pc,ww,bb,NA,NA,di,mr
724,13.5,9.75,131.62,budget,1,south,east,NA,18000,db,mt,mc,hw,bb,NA,NA,di,mr
725,9.25,9,83.25,budget,1,east,NA,west,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
726,14,11.25,157.5,luxury,2,north,east,south,70000,db,mt,ac,ww,wb,bt,dr,di,NA
727,14.5,13.5,195.75,budget,2,north,east,west,18300,sb,mt,pc,fw,wb,NA,NA,di,mr
728,15,13.5,202.5,budget,2,north,east,west,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
729,14,13.25,185.5,budget,2,north,south,west,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
730,11.75,9,105.75,standard,1,north,east,NA,17500,db,mt,mc,hw,bb,NA,NA,di,NA
731,13.25,12.5,165.62,budget,2,west,south,north,14000,sb,mt,mc,hw,NA,NA,NA,di,mr
732,9.75,9.75,95.06,luxury,1,south,north,NA,55000,db,lt,ac,ww,bb,bt,NA,di,mr
733,14.25,12.75,181.69,luxury,2,north,west,south,19300,db,lt,pc,hw,bb,NA,NA,di,mr
734,13,13,169,luxury,2,south,west,north,34800,db,lt,pc,ww,wb,NA,NA,di,mr
735,13.75,9.75,134.06,standard,1,east,NA,north,18500,db,lt,mc,hw,NA,NA,NA,di,mr
736,12.75,12.25,156.19,luxury,1,west,south,NA,43500,kb,lt,mc,hw,NA,NA,dr,di,NA
737,14.75,14.25,210.19,standard,2,north,west,east,18800,db,mt,pc,fw,bb,NA,NA,di,mr
738,14.75,13.75,202.81,budget,2,north,west,south,13300,sb,mt,pc,NA,bb,NA,NA,di,mr
739,12.25,9.5,116.38,luxury,1,north,NA,west,46500,db,lt,mc,ww,wb,NA,NA,di,mr
740,13,10,130,luxury,1,west,south,NA,25500,db,mt,ac,NA,wb,NA,NA,di,mr
741,13,12.75,165.75,budget,2,east,west,south,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
742,10.5,10.5,110.25,budget,2,south,west,east,16300,sb,mt,pc,hw,wb,NA,NA,di,NA
743,14,13,182,budget,2,north,south,west,29800,db,mt,pc,ww,bb,NA,NA,di,NA
744,12.5,11,137.5,luxury,1,north,south,NA,55000,db,lt,ac,hw,bb,bt,dr,di,NA
745,13.75,10.75,147.81,budget,1,north,NA,west,10800,sb,mt,pc,NA,NA,NA,NA,di,NA
746,12.25,12,147,budget,1,north,east,NA,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
747,12.5,10,125,luxury,2,south,west,east,43000,db,lt,mc,ww,NA,NA,NA,di,mr
748,12,9.75,117,budget,1,north,south,NA,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
749,12,9.75,117,standard,1,north,NA,west,19500,db,lt,mc,fw,NA,NA,NA,di,mr
750,14.5,10.25,148.62,standard,1,south,north,NA,16500,db,lt,mc,NA,NA,NA,NA,di,mr
751,14.75,12.75,188.06,budget,2,west,east,south,28000,sb,mt,mc,ww,bb,NA,NA,di,NA
752,15,9.25,138.75,luxury,2,east,south,north,43000,db,lt,ac,hw,NA,bt,dr,di,NA
753,14.25,13.5,192.38,standard,2,east,west,south,27500,db,mt,ac,hw,wb,NA,NA,di,mr
754,13.25,12,159,standard,2,east,south,north,17800,db,lt,pc,hw,NA,NA,NA,di,mr
755,15,13.25,198.75,standard,2,east,south,north,21000,db,mt,mc,fw,wb,NA,NA,di,NA
756,10.25,10,102.5,standard,1,west,east,NA,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
757,13.25,11.75,155.69,budget,2,north,west,east,15800,sb,mt,pc,fw,bb,NA,NA,di,mr
758,9.5,9.25,87.88,standard,1,east,west,NA,22000,db,mt,mc,fw,wb,NA,NA,di,mr
759,14.5,13.5,195.75,budget,2,south,east,west,34500,db,mt,mc,ww,wb,NA,NA,di,mr
760,10.25,9,92.25,budget,1,west,north,NA,16300,db,mt,pc,hw,NA,NA,NA,di,mr
761,10.25,9,92.25,budget,1,north,NA,west,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
762,14.5,10.5,152.25,budget,2,east,north,south,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
763,12.25,9.25,113.31,standard,2,north,east,west,32000,db,lt,mc,ww,NA,NA,NA,di,mr
764,13.5,11.75,158.62,standard,2,west,north,east,31300,db,lt,pc,ww,NA,NA,NA,di,mr
765,13.5,10.75,145.12,standard,2,west,south,north,22000,db,mt,ac,NA,NA,NA,NA,di,mr
766,12.5,10.5,131.25,budget,1,north,south,NA,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
767,9.75,9.5,92.62,standard,1,south,NA,west,23500,sb,lt,ac,hw,bb,NA,NA,di,mr
768,13,10,130,budget,2,west,east,north,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
769,14.75,14.5,213.88,standard,2,west,east,north,13800,db,mt,pc,NA,NA,NA,NA,di,NA
770,14.5,11,159.5,standard,1,east,north,NA,14000,sb,lt,mc,hw,NA,NA,NA,di,NA
771,13.25,13,172.25,luxury,2,west,south,north,54000,db,lt,mc,ww,wb,bt,dr,di,NA
772,13.25,12,159,budget,1,east,south,NA,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
773,12.5,9,112.5,budget,1,east,NA,south,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
774,11,9.75,107.25,luxury,1,west,north,NA,52000,db,lt,ac,ww,NA,NA,dr,di,NA
775,13.5,13.25,178.88,standard,2,west,north,east,21000,db,lt,mc,fw,bb,NA,NA,di,mr
776,14.25,13.75,195.94,standard,2,south,west,east,16000,db,mt,mc,NA,bb,NA,NA,di,NA
777,12,10.25,123,standard,1,west,NA,east,34500,db,mt,mc,ww,wb,NA,NA,di,mr
778,15,10.75,161.25,budget,2,north,south,east,18300,db,lt,pc,fw,NA,NA,NA,di,mr
779,13.5,10.5,141.75,standard,2,south,east,north,20500,sb,lt,mc,fw,wb,NA,NA,di,mr
780,11.75,9.75,114.56,budget,1,east,north,NA,12500,sb,mt,mc,NA,NA,NA,NA,di,mr
781,13.5,9.75,131.62,standard,1,east,NA,north,17000,db,lt,mc,NA,NA,NA,NA,di,mr
782,14,10.5,147,luxury,2,west,east,north,37000,db,lt,mc,fw,NA,bt,dr,di,NA
783,12.25,11.5,140.88,standard,1,north,NA,south,14800,sb,lt,pc,fw,NA,NA,NA,di,NA
784,12.75,11,140.25,budget,1,east,south,NA,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
785,9.5,9,85.5,standard,1,east,NA,west,27500,sb,mt,mc,ww,NA,NA,NA,di,mr
786,12.75,10.25,130.69,luxury,2,north,south,west,46000,db,lt,mc,ww,NA,bt,NA,di,NA
787,11.75,11.25,132.19,budget,1,south,NA,west,14800,sb,mt,pc,fw,bb,NA,NA,di,NA
788,14.25,9,128.25,standard,2,south,east,west,24000,db,mt,ac,hw,bb,NA,NA,di,NA
789,12,9.5,114,standard,1,south,NA,north,20500,sb,mt,ac,fw,NA,NA,NA,di,NA
